,state,Connected to All weather road,Internal Pucca Roads (Cc/ Brick Road),Public Transport,Public Distribution System(PDS),Piped tap water,Drainage facilities,Community waste disposal system,Community bio gas or recycle of waste for production use,Aanganwadi Centre,Children under 5 years who are wasted (weight-for-height)18 (%),classify
525,TN(24),677,656,764,768,837,397,324,73,795,13.9,Low
526,TN(24),437,394,448,408,495,355,247,108,434,16.9,Low
527,TN(24),334,312,353,344,372,341,262,106,358,21.1,High
528,TN(24),294,234,282,292,304,290,172,48,302,20.9,High
529,TN(24),337,352,373,363,448,309,225,120,386,15.7,Low
530,TN(24),117,119,125,127,128,117,59,26,125,11.4,Low
531,TN(24),164,171,162,169,175,130,123,39,173,18.4,Low
532,TN(24),540,469,635,532,686,552,235,97,602,10.4,Low
533,TN(24),524,510,568,515,608,561,435,119,549,9.5,Low
534,TN(24),421,435,449,478,497,206,260,61,486,12.5,Low
535,TN(24),374,335,352,362,408,356,287,79,374,10.3,Low
536,TN(24),142,132,148,150,162,150,80,29,157,15.9,Low
537,TN(24),679,539,690,643,815,273,391,92,686,9.5,Low
538,TN(24),418,346,475,428,461,195,279,74,479,17.7,Low
539,TN(24),494,473,524,521,580,448,338,88,542,10.1,Low
540,TN(24),562,497,683,578,694,343,415,111,655,22.8,High
541,TN(24),758,605,762,714,774,328,423,115,768,8.3,Low
542,TN(24),45,47,48,42,49,47,23,5,44,17.3,Low
543,TN(24),134,123,144,140,149,148,110,35,143,15.5,Low
544,TN(24),581,593,581,609,728,357,370,81,668,17,Low
545,TN(24),433,423,476,493,546,203,243,62,522,18.4,Low
546,TN(24),427,393,455,453,489,339,242,69,480,20.9,High
547,TN(24),231,201,249,237,266,225,176,37,246,12,Low
548,TN(24),907,871,955,1045,1132,661,537,114,1072,14.8,Low
549,TN(24),406,345,431,436,462,389,325,47,446,18.4,Low
550,TN(24),279,252,318,314,351,247,145,60,330,13.1,Low
551,TN(24),782,540,832,820,903,345,476,160,845,12.4,Low
552,TN(24),533,468,583,488,650,513,336,72,552,14.4,Low
553,TN(24),217,167,234,242,249,173,143,51,244,15.1,Low
554,TN(24),275,277,289,298,304,253,217,39,299,15.3,Low
555,TN(24),409,338,530,511,571,408,269,103,553,18.7247392,Low
556,TN(24),526,433,524,522,625,296,225,61,557,18.7247392,Low
557,TN(24),264,248,281,295,327,221,159,45,310,18.7247392,Low
558,TN(24),178,142,237,218,259,173,145,44,239,18.7247392,Low
559,TN(24),229,203,248,240,252,238,176,53,249,18.7247392,Low
560,TP(25),153,147,204,162,180,161,6,3,220,15.9,Low
561,TP(25),129,126,149,100,137,142,13,3,179,30,High
562,TP(25),186,200,246,199,243,219,20,6,239,15.3,Low
563,TP(25),178,159,182,163,189,175,16,6,195,11.7,Low
564,TP(25),127,118,138,128,139,132,5,0,148,16.6,Low
565,TP(25),203,182,210,186,214,205,20,3,213,14.9,Low
566,TP(25),165,174,209,161,221,188,13,3,218,27.6,High
567,TP(25),127,109,135,100,110,119,6,0,132,19.3,High
568,TS(26),493,503,545,334,564,537,444,71,542,29.5,High
569,TS(26),309,295,303,279,318,312,258,61,310,13.9,Low
570,TS(26),585,549,608,504,629,599,489,198,621,24.7,High
571,TS(26),385,403,414,348,464,406,301,30,448,17.8,Low
572,TS(26),486,437,525,443,539,529,390,87,542,21.3,High
573,TS(26),848,844,917,779,950,899,522,84,938,29.8,High
574,TS(26),548,530,549,434,563,551,471,105,544,26.2,High
575,TS(26),642,649,664,546,704,673,563,102,658,13.9,Low
576,TS(26),372,359,369,317,407,354,263,103,399,19,High
577,TS(26),472,452,510,366,524,516,416,144,498,18.1,Low
578,TS(26),371,346,381,316,393,383,295,58,383,17.5,Low
579,TS(26),279,279,282,260,291,282,258,69,281,28.8,High
580,TS(26),257,239,248,227,267,241,220,46,259,19.4,High
581,TS(26),376,382,420,339,454,413,346,45,411,22.1,High
582,TS(26),588,525,606,479,655,632,415,96,644,34.5,High
583,TS(26),128,123,129,113,133,129,109,36,130,29.5,High
584,TS(26),265,258,266,237,292,276,118,18,284,31.8,High
585,TS(26),460,446,494,392,521,428,355,137,503,19.3,High
586,TS(26),272,244,271,235,290,264,172,27,290,22.9,High
587,TS(26),609,540,662,508,683,611,360,142,658,21.8,High
588,TS(26),671,612,701,619,756,749,514,72,754,25,High
589,TS(26),483,466,488,446,514,492,341,38,502,19.3,High
590,TS(26),248,237,257,230,296,271,183,25,287,15.1,Low
591,TS(26),467,468,522,435,543,487,336,72,544,27.3,High
592,TS(26),236,232,249,233,268,239,204,26,256,17.3,Low
593,TS(26),465,466,477,408,492,477,387,68,488,24.9,High
594,TS(26),403,374,385,359,428,409,228,18,421,10.3,Low
595,TS(26),663,667,744,637,789,751,609,109,778,20,High
596,TS(26),442,461,550,326,565,478,339,69,517,35.7,High
597,TS(26),95,88,95,75,96,92,75,21,93,12,Low
598,TS(26),276,256,278,220,288,263,220,50,264,18.7247392,Low
599,TS(26),281,273,314,235,344,305,197,17,325,18.7247392,Low
600,UK(27),1181,1448,1656,860,2136,1621,187,75,1419,17,Low
601,UK(27),404,531,632,347,820,657,71,16,516,7.7,Low
602,UK(27),424,714,752,560,1029,955,324,39,767,16.2,Low
603,UK(27),300,445,459,323,618,490,67,9,470,12.4,Low
604,UK(27),446,414,473,328,623,521,57,18,509,10.1,Low
605,UK(27),433,481,298,306,462,488,207,86,424,16.4,Low
606,UK(27),769,773,774,375,978,620,51,39,729,14,Low
607,UK(27),1430,2492,2329,760,3058,2374,285,122,1445,12,Low
608,UK(27),494,986,924,574,1495,1213,269,23,863,12.4,Low
609,UK(27),335,500,449,314,616,400,94,15,421,8,Low
610,UK(27),1011,1309,1349,749,1720,1414,239,28,1342,12.8,Low
611,UK(27),482,482,328,300,429,559,33,34,528,12.4,Low
612,UK(27),358,472,419,411,625,572,37,11,593,10.6,Low
613,UP(28),815,770,427,672,633,866,148,23,815,16.4,Low
614,UP(28),893,999,623,772,584,1048,122,44,1007,10.9,Low
615,UP(28),1903,2244,1469,1613,1288,2318,553,137,1716,15.1,Low
616,UP(28),1392,1427,693,1048,712,1487,235,19,911,17.8,Low
617,UP(28),691,739,402,466,465,745,76,25,598,19.4,High
618,UP(28),3039,3199,2489,2188,1050,3308,492,77,1496,14.4,Low
619,UP(28),265,255,202,240,144,282,25,10,257,10.3,Low
620,UP(28),1097,1105,644,1018,696,1183,225,39,1106,14.4,Low
621,UP(28),1339,1508,935,1031,732,1541,202,35,891,21.9,High
622,UP(28),836,912,484,791,316,948,186,20,799,24.9,High
623,UP(28),588,621,551,468,340,611,75,7,506,25.7,High
624,UP(28),1585,1594,610,1300,883,1716,208,26,1378,18.1,Low
625,UP(28),1535,1620,1178,1214,1060,1745,251,59,1359,15.4,Low
626,UP(28),2408,2407,1244,1423,1315,2505,415,65,1390,24.2,High
627,UP(28),1944,2140,1569,1302,1527,2329,444,92,1559,9.4,Low
628,UP(28),1290,1391,1085,1037,599,1469,206,33,1087,18.2,Low
629,UP(28),1061,1029,843,996,389,1159,146,20,1095,13.8,Low
630,UP(28),1212,1242,774,725,428,1250,147,27,845,17.4,Low
631,UP(28),453,503,415,355,378,516,102,11,396,24.8,High
632,UP(28),1690,1842,1053,1360,685,1784,171,31,1313,26.5,High
633,UP(28),747,816,544,608,410,833,77,8,622,15,Low
634,UP(28),540,600,383,331,455,630,94,20,542,13.9,Low
635,UP(28),1034,1016,588,887,365,1113,207,24,849,12.4,Low
636,UP(28),776,734,618,676,265,835,103,51,712,14.3,Low
637,UP(28),1140,1134,729,840,653,1297,165,37,1095,17.8,Low
638,UP(28),705,727,478,511,567,762,149,27,599,9.5,Low
639,UP(28),102,95,65,90,41,99,63,6,96,12,Low
640,UP(28),183,182,131,174,73,189,106,5,162,17.1,Low
641,UP(28),2114,2196,1595,1357,976,2468,498,156,1074,25.7,High
642,UP(28),1472,1740,709,1294,1207,1668,77,28,1249,12.1,Low
643,UP(28),2382,2582,1878,1549,1283,2569,478,55,1406,23.3,High
644,UP(28),459,466,462,384,445,462,80,1,434,20.6,High
645,UP(28),1630,1582,1152,1433,482,1854,589,40,1597,22.3,High
646,UP(28),845,919,570,583,489,950,171,26,764,19.5,High
647,UP(28),2272,2507,1605,1791,1326,2600,185,46,1471,14.8,Low
648,UP(28),609,642,586,440,401,698,110,15,579,25.2,High
649,UP(28),866,782,589,635,448,935,201,30,745,22.5,High
650,UP(28),605,610,329,446,408,640,141,31,597,21.5,High
651,UP(28),812,823,398,592,349,855,104,19,787,12.5,Low
652,UP(28),810,851,557,642,365,904,156,32,775,21.4,High
653,UP(28),675,614,358,507,278,678,340,60,568,18.3,Low
654,UP(28),1309,1427,744,1155,769,1481,155,27,1251,15.8,Low
655,UP(28),1078,1211,732,999,651,1188,78,21,1008,24.3,High
656,UP(28),569,642,545,413,226,614,229,19,574,18.7,Low
657,UP(28),746,700,387,646,332,763,55,27,688,11.5,Low
658,UP(28),522,522,322,452,399,588,95,35,541,12,Low
659,UP(28),1036,1153,706,893,663,1145,202,47,891,21.8,High
660,UP(28),402,391,371,333,165,422,171,13,385,25,High
661,UP(28),724,758,391,526,366,776,156,37,689,14.6,Low
662,UP(28),672,686,440,563,631,748,186,28,625,11,Low
663,UP(28),1132,1393,935,731,422,1427,178,28,828,21.2,High
664,UP(28),577,532,448,506,265,569,253,35,531,10.2,Low
665,UP(28),1467,1512,1039,1044,438,1498,159,46,1034,12.5,Low
666,UP(28),939,1007,697,712,606,1038,144,34,859,19.1,High
667,UP(28),549,561,506,473,390,561,156,39,517,20.7,High
668,UP(28),1072,1200,719,639,633,1229,152,31,856,20.1,High
669,UP(28),1589,1749,1181,1298,965,1938,159,39,1237,10.1,Low
670,UP(28),1187,1267,636,1043,824,1434,183,24,1169,13,Low
671,UP(28),1006,1018,833,805,332,1088,185,59,931,17.6,Low
672,UP(28),1192,1222,718,946,680,1271,192,26,1056,22,High
673,UP(28),1159,1380,720,759,650,1356,163,24,755,19,High
674,UP(28),883,961,490,622,280,899,36,13,560,9.1,Low
675,UP(28),1709,1607,983,1194,865,1915,92,14,1459,17,Low
676,UP(28),440,458,279,379,317,473,100,32,439,18.7247392,Low
677,UP(28),1726,2063,1123,1200,858,2063,164,22,1281,24.8,High
678,UP(28),1977,2047,974,1602,929,2096,195,25,1677,18.2,Low
679,UP(28),1140,1172,917,689,342,1003,51,9,861,26.8,High
680,UP(28),1309,1451,846,1083,759,1482,97,71,1030,10.7,Low
681,UP(28),1466,1461,805,1029,952,1548,202,56,1269,12.1,Low
682,UP(28),1012,1026,646,790,377,932,205,37,826,21,High
683,UP(28),570,590,457,426,401,587,102,25,541,18.7247392,Low
684,UP(28),793,861,491,660,419,886,142,20,765,19.9,High
685,UP(28),796,962,660,611,641,975,149,17,702,14.1,Low
686,UP(28),291,296,236,246,158,308,150,16,263,24.3,High
687,UP(28),300,300,288,289,104,318,53,14,297,18.5,Low
688,WB(29),1295,1285,1530,758,969,1461,83,33,1531,13.3,Low
689,WB(29),1713,1714,2042,1194,1231,1831,112,55,2031,21.2,High
690,WB(29),2536,2550,2431,1108,2565,2468,108,125,3108,26,High
691,WB(29),1676,1604,2041,1096,1412,2089,180,108,2064,21.1,High
692,WB(29),1863,1751,1936,742,848,2089,102,53,2048,25.5,High
693,WB(29),724,660,1001,388,645,629,78,35,1064,16.8,Low
694,WB(29),290,245,238,112,197,309,8,3,312,20.6,High
695,WB(29),929,975,1292,275,584,1175,32,25,1365,22.8,High
696,WB(29),974,1074,1195,574,421,656,57,60,1379,16,Low
697,WB(29),1562,1527,1777,973,1181,1765,92,43,1838,20,High
698,WB(29),651,681,763,422,491,669,19,17,783,21.3,High
699,WB(29),341,349,392,288,277,406,15,11,425,18.3,Low
700,WB(29),897,990,1303,590,1129,926,102,71,1509,20,High
701,WB(29),1943,2384,2735,1071,2067,2347,85,53,2566,15.5,Low
702,WB(29),2874,3000,3496,1040,3878,3914,153,88,3774,30.3,High
703,WB(29),1522,1602,1681,1060,1038,1483,98,57,1870,16.3,Low
704,WB(29),1094,952,1252,652,976,766,70,47,1231,17.6,Low
705,WB(29),1842,1563,1487,1213,849,973,125,88,2286,29.4,High
706,WB(29),270,234,289,204,199,264,15,5,346,18.7247392,Low
707,WB(29),1471,1375,1262,350,1491,975,10,14,1769,18.7247392,Low
708,WB(29),360,335,301,203,300,375,56,12,373,25.5,High
