District Name,state,Connected to All weather road,Internal Pucca Roads (Cc/ Brick Road),Public Transport,Public Distribution System(PDS),Piped tap water,Drainage facilities,Community waste disposal system,Community bio gas or recycle of waste for production use,Aanganwadi Centre,Children under 5 years who are wasted (weight-for-height)18 (%),classify
ANANTAPUR (502),AP(0),979,1006,1135,1128,1182,922,586,146,1174,19.3,High
CHITTOOR (503),AP(0),1701,1738,1806,1693,1912,1526,1280,424,1768,14.8,Low
Y.S.R. (504),AP(0),960,938,998,932,1060,593,577,105,986,14.1,Low
EAST GODAVARI (505),AP(0),1336,1343,1553,1331,1681,1269,603,163,1629,14.3,Low
GUNTUR (506),AP(0),968,911,1025,1016,868,973,557,97,1059,17.8,Low
KRISHNA (510),AP(0),999,912,1020,1024,1075,873,657,172,1070,14.3,Low
KURNOOL (511),AP(0),882,935,1011,1018,1050,930,411,72,1050,16.7,Low
SPSR NELLORE (515),AP(0),1122,1056,1218,1115,1257,902,508,125,1203,17.2,Low
PRAKASAM (517),AP(0),1052,1071,1207,1146,1163,1046,560,139,1222,8.7,Low
SRIKAKULAM (519),AP(0),1515,1568,1766,1609,1613,1609,518,166,1750,19.5,High
VISAKHAPATANAM (520),AP(0),1713,1885,2450,1543,2749,1689,568,196,2449,21.5,High
VIZIANAGARAM (521),AP(0),1134,1222,1388,1216,1496,1463,599,140,1522,19.2,High
WEST GODAVARI (523),AP(0),973,921,990,940,1073,999,684,172,1048,11.7,Low
CHANGLANG (229),AR(1),130,62,83,162,231,109,2,0,249,16.3,Low
DIBANG VALLEY (230),AR(1),44,32,1,36,130,11,1,1,33,18.1,Low
EAST KAMENG (231),AR(1),61,41,34,88,213,121,4,9,123,15.8,Low
EAST SIANG (232),AR(1),103,72,100,86,111,100,10,2,112,8.6,Low
KURUNG KUMEY (233),AR(1),37,25,22,151,289,90,10,2,83,15.1,Low
LOHIT (234),AR(1),35,13,28,23,91,12,36,2,76,12.7,Low
LOWER DIBANG VALLEY (235),AR(1),108,34,148,147,204,72,19,4,148,7.6,Low
LOWER SUBANSIRI (236),AR(1),192,188,107,146,361,293,2,1,174,11.5,Low
PAPUM PARE (237),AR(1),180,154,205,190,423,239,11,6,320,9,Low
TAWANG (238),AR(1),145,85,102,32,230,196,99,2,124,7.1,Low
TIRAP (239),AR(1),66,29,35,48,93,66,14,1,87,13.8,Low
UPPER SIANG (240),AR(1),45,29,10,78,88,56,7,0,84,12.5,Low
UPPER SUBANSIRI (241),AR(1),112,102,62,223,326,204,2,0,350,12.2,Low
WEST KAMENG (242),AR(1),148,142,144,72,288,226,46,2,196,23.2,High
WEST SIANG (243),AR(1),66,41,30,113,146,114,26,0,139,15.1,Low
ANJAW (628),AR(1),10,4,1,28,241,16,0,1,173,14.3,Low
LONGDING (666),AR(1),40,27,3,54,47,36,0,0,72,20.6,High
Kra Daadi (677),AR(1),57,15,7,98,115,85,8,0,87,9.4,Low
KRA DAADI (677),AR(1),1,1,0,5,7,4,0,0,3,18.7247392,Low
NAMSAI (678),AR(1),142,80,147,33,59,101,34,1,169,12.4,Low
SIANG (679),AR(1),48,25,23,98,105,77,2,0,102,12.1,Low
KAMLE (718),AR(1),119,62,83,90,212,104,17,1,87,18.7247392,Low
LOWER SIANG (719),AR(1),51,30,54,60,106,30,32,0,100,18.7247392,Low
PAKKE KESSANG (723),AR(1),44,16,24,24,59,38,0,0,59,18.7247392,Low
LEPARADA (724),AR(1),53,49,15,50,80,71,13,0,78,18.7247392,Low
SHI YOMI (725),AR(1),17,20,15,47,71,66,14,0,44,18.7247392,Low
BARPETA (280),AS(2),319,311,498,387,146,85,24,17,737,19.5,High
BONGAIGAON (281),AS(2),238,223,329,348,124,104,4,3,475,20.2,High
CACHAR (282),AS(2),504,328,846,579,576,577,47,35,832,30.7,High
DARRANG (283),AS(2),204,165,343,255,184,143,18,9,465,27,High
DHEMAJI (284),AS(2),894,544,1505,716,201,444,27,35,1563,18.3,Low
DHUBRI (285),AS(2),226,215,451,250,151,66,10,7,750,21.5,High
DIBRUGARH (286),AS(2),631,663,822,829,262,982,60,34,1124,20.6,High
GOALPARA (287),AS(2),403,220,561,352,228,306,13,17,708,24.3,High
GOLAGHAT (288),AS(2),427,305,598,543,398,272,8,1,814,19.2,High
HAILAKANDI (289),AS(2),170,137,274,183,103,140,9,6,297,22.2,High
JORHAT (290),AS(2),261,245,321,373,310,410,24,13,534,15.5,Low
KAMRUP (291),AS(2),524,531,772,486,521,361,60,57,899,14.8,Low
KARBI ANGLONG (292),AS(2),549,653,1494,177,392,696,30,20,963,17.2,Low
KARIMGANJ (293),AS(2),257,149,480,224,170,223,32,26,444,48,High
KOKRAJHAR (294),AS(2),555,327,730,443,173,232,31,12,899,20.5,High
LAKHIMPUR (295),AS(2),460,480,790,418,215,203,18,14,997,18.2,Low
MARIGAON (296),AS(2),294,289,348,268,177,95,15,17,513,16.1,Low
NAGAON (297),AS(2),462,411,772,471,300,167,13,10,849,19.4,High
NALBARI (298),AS(2),239,242,352,260,228,123,20,25,431,15.4,Low
DIMA HASAO (299),AS(2),129,85,299,17,120,37,3,0,135,23.6,High
SIVASAGAR (300),AS(2),275,252,319,373,252,356,7,2,492,21.1,High
SONITPUR (301),AS(2),347,271,565,451,314,375,41,33,755,13.1,Low
TINSUKIA (302),AS(2),549,386,841,562,179,795,60,44,971,21.5,High
CHIRANG (612),AS(2),253,50,315,285,31,64,13,12,390,19.5,High
BAKSA (616),AS(2),389,287,462,326,130,161,19,16,609,17,Low
UDALGURI (617),AS(2),318,212,376,303,163,304,18,16,690,21.3,High
KAMRUP METRO (618),AS(2),87,93,184,87,125,114,12,17,187,18.2,Low
Biswanath (705),AS(2),351,222,588,367,438,469,34,19,773,27.1,High
MAJULI (706),AS(2),96,79,87,72,45,68,5,8,165,14.1,Low
SOUTH SALMARA MANCACHAR (707),AS(2),44,49,93,76,10,25,2,2,153,18.2,Low
CHARAIDEO (708),AS(2),103,137,171,153,93,141,3,1,279,23.5,High
HOJAI (709),AS(2),192,164,317,163,138,109,24,22,366,12.7,Low
WEST KARBI ANGLONG (710),AS(2),206,213,249,87,46,109,5,5,358,23.2,High
ARARIA (188),BH(3),517,600,612,478,457,301,24,17,660,23.9,High
AURANGABAD (189),BH(3),1374,1431,1566,716,1369,1553,54,52,1394,32.9,High
BANKA (190),BH(3),983,1386,1292,554,1475,1398,87,80,1183,26.9,High
BEGUSARAI (191),BH(3),702,836,789,518,636,571,45,29,736,21,High
BHAGALPUR (192),BH(3),968,1094,1122,593,1148,1118,45,23,991,21.2,High
BHOJPUR (193),BH(3),814,789,931,604,764,921,50,35,963,31.3,High
BUXAR (194),BH(3),666,801,823,361,748,823,28,20,645,33.2,High
DARBHANGA (195),BH(3),788,1016,909,746,1059,652,8,6,1069,19.3,High
GAYA (196),BH(3),1846,2353,2208,1108,2217,2257,86,64,2248,24.3,High
GOPALGANJ (197),BH(3),1067,933,991,583,1375,1052,37,31,1217,21.5,High
JAMUI (198),BH(3),810,879,1143,574,1081,1058,38,35,955,19.4,High
JEHANABAD (199),BH(3),465,421,451,262,539,487,34,24,479,36.6,High
KAIMUR (BHABUA) (200),BH(3),956,993,1285,491,1063,1207,94,50,948,27.3,High
KATIHAR (201),BH(3),892,1037,1125,625,667,600,70,47,1141,23.5,High
KHAGARIA (202),BH(3),200,252,198,210,190,144,33,40,278,25.3,High
KISHANGANJ (203),BH(3),591,527,582,394,227,389,76,19,631,23.9,High
LAKHISARAI (204),BH(3),316,374,354,202,377,340,25,18,355,25.6,High
MADHEPURA (205),BH(3),318,364,336,343,282,296,33,28,398,20.6,High
